rank,track,preprocessing,reduction,selection,model,accuracy,precision,recall,f1,roc_auc,fit_time_sec,predict_time_sec,baseline_accuracy,baseline_f1,delta_vs_baseline_accuracy,delta_vs_baseline_f1
595,binary,standard,pca,filter_correlation,logistic_regression,0.8063477702331786,0.9694581280788178,0.033037628094494,0.06368610502218017,0.5224735757743871,0.008561485990261,0.0030755976719471,0.821739120178421,0.2034644163515437,-0.015391349945242383,-0.13977831132936352
596,binary,minmax,svd,embedded_l1,lda_classifier,0.8061738647478497,0.9880952380952381,0.03130209024796796,0.060648808891643334,0.41819296741969764,0.02357395833435773,0.0003376529978898,0.8245217667200473,0.23028046643744593,-0.0183479019721976,-0.1696316575458026
597,binary,robust,none,wrapper_rfe,lda_classifier,0.8061738193831739,0.9803921568627451,0.03129982082940433,0.06058298593540403,0.4028655549599338,0.0166153330064844,0.0010377500051011,0.8245217667200473,0.23028046643744593,-0.018347947336873394,-0.1696974805020419
598,binary,robust,none,filter_chi2,logistic_regression,0.8060866965229745,0.982905982905983,0.031298686120122536,0.06033611422509403,0.40891866911742003,0.30499612500231404,0.00017605566730096667,0.821739120178421,0.2034644163515437,-0.0156524236554465,-0.14312830212644967
599,binary,standard,svd,none,logistic_regression,0.805999913897845,0.9885057471264368,0.030430633519539063,0.05894874846610163,0.41387159889671327,0.015457847330253535,0.0005880136644312333,0.821739120178421,0.2034644163515437,-0.015739206280576012,-0.14451566788544207
600,binary,robust,svd,wrapper_rfe,logistic_regression,0.8058260764595303,0.9866666666666667,0.029563148273596535,0.0573816723498252,0.4161137922274079,0.0142051250052948,0.00045645833597513327,0.821739120178421,0.2034644163515437,-0.015913043718890685,-0.1460827440017185
601,binary,standard,svd,wrapper_rfe,logistic_regression,0.8058260310948543,0.9876543209876543,0.029560311500391966,0.05727629044961866,0.4144494174369924,0.016083389336320798,0.0021523886728876,0.821739120178421,0.2034644163515437,-0.0159130890835667,-0.14618812590192504
602,binary,minmax,none,filter_anova,lda_classifier,0.8058257589067983,0.983739837398374,0.029994337800683734,0.057759374546346165,0.40523149377488105,0.010036763987348667,0.0006334859936032001,0.8245217667200473,0.23028046643744593,-0.018696007813248983,-0.17252109189109976
603,binary,minmax,none,filter_correlation,lda_classifier,0.8058257589067983,0.983739837398374,0.029994337800683734,0.057759374546346165,0.40523149377488105,0.0352038469961068,0.00043486134381960005,0.8245217667200473,0.23028046643744593,-0.018696007813248983,-0.17252109189109976
604,binary,robust,none,filter_anova,lda_classifier,0.8058257589067983,0.983739837398374,0.029994337800683734,0.057759374546346165,0.4084968357441982,0.012375680671539067,0.00044852766829226663,0.8245217667200473,0.23028046643744593,-0.018696007813248983,-0.17252109189109976
605,binary,robust,none,filter_correlation,lda_classifier,0.8058257589067983,0.983739837398374,0.029994337800683734,0.057759374546346165,0.4084968357441982,0.014406180659231368,0.0004910140026670667,0.8245217667200473,0.23028046643744593,-0.018696007813248983,-0.17252109189109976
606,binary,standard,none,filter_anova,lda_classifier,0.8058257589067983,0.983739837398374,0.029994337800683734,0.057759374546346165,0.516510454243872,0.010401666668864532,0.0006623053341171999,0.8245217667200473,0.23028046643744593,-0.018696007813248983,-0.17252109189109976
607,binary,standard,none,filter_chi2,lda_classifier,0.8058257589067983,0.983739837398374,0.029994337800683734,0.057759374546346165,0.516510454243872,0.012156389003697135,0.00029794466293723334,0.8245217667200473,0.23028046643744593,-0.018696007813248983,-0.17252109189109976
